SEQN,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH3,DMDEDUC2,DMDMARTL,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
68400,2,1,8,4,,,7687.032802,8052.55895,2,99
68401,2,1,43,1,1,5,31347.36219,35248.66815,2,90
68402,2,2,1,7,,,3842.794137,4026.588867,1,93
68403,2,2,36,1,2,1,35425.867861,35132.246023,1,97
68404,2,2,65,4,4,5,11879.290971,12409.688606,2,96
68405,2,1,1,3,,,22170.765881,25013.89276,1,94
68406,2,2,17,6,,,12054.065975,12306.62888,1,98
68407,2,2,80,1,1,2,16878.750567,18850.661665,2,98
68408,2,2,16,3,,,91539.042546,96988.607103,1,101
68409,2,1,3,1,,,20874.345556,20902.551716,3,92
68410,2,1,16,4,,,13863.378072,13964.345562,1,96
68411,2,2,30,3,5,6,89807.047643,92234.66957,3,91
68412,2,1,32,3,2,4,22013.270774,24073.71767,1,101
68413,2,2,3,1,,,15326.318384,16920.666785,1,94
68414,1,1,77,3,3,1,19418.523783,0,1,101
68415,2,2,43,1,2,4,49900.868115,50161.096898,3,92
68416,2,1,63,6,3,1,8623.181934,10090.425838,2,103
68417,2,1,19,1,,,14081.782012,14391.713696,2,90
68418,2,2,70,2,2,1,20621.25319,22173.285594,2,93
68419,2,2,70,3,4,2,81416.374938,85457.008484,1,97
68420,2,1,22,4,4,5,18831.340773,18391.458344,2,93
68421,1,2,15,4,,,12327.773112,0,2,95
68422,2,2,60,3,4,1,53370.063988,54427.336747,3,92
68423,2,2,42,3,5,1,154825.466557,157902.106304,1,91
68424,2,1,72,6,1,1,16828.011748,23148.456034,1,97
68425,2,1,56,4,5,1,16287.780872,16385.890285,2,100
68426,2,2,19,3,,,35205.804094,37301.699975,2,101
68427,2,2,21,4,4,5,30275.274308,30259.77569,2,101
68428,2,2,44,3,2,4,24842.055317,24866.449113,2,95
68429,2,1,27,3,5,6,118671.226879,152848.538678,2,91
68430,2,2,2,6,,,6365.363193,6669.808387,1,92
68431,2,1,3,4,,,7076.684446,7163.001252,2,99
68432,2,1,80,2,3,1,11755.776731,12827.229805,3,90
68433,2,2,6,1,,,13085.05107,13640.91346,2,92
68434,2,2,67,4,2,5,11576.638399,12468.988052,1,101
68435,2,2,8,3,,,25826.784831,26196.011011,2,91
68436,2,2,51,3,4,6,196995.351093,203724.329642,1,91
68437,2,1,4,4,,,7354.77583,7808.790358,2,90
68438,2,1,43,4,3,1,25964.952645,26783.974907,2,96
68439,2,1,14,7,,,8676.361974,9272.775003,1,90
68440,2,1,46,3,4,1,116464.874823,116165.700541,2,94
68441,2,2,51,4,4,1,22631.175755,22215.258702,2,96
68442,2,2,42,1,1,5,30678.628571,30838.615009,3,91
68443,2,1,73,4,5,1,6725.306794,6857.040344,2,99
68444,2,1,23,4,3,5,19537.368697,21142.881814,2,96
68445,2,1,70,2,4,1,9710.399795,9879.67408,2,93
68446,2,2,68,6,5,1,11838.431472,12295.352662,2,92
68447,2,2,68,3,4,3,49568.196121,49400.509437,1,95
68448,2,2,28,7,5,5,18100.072824,19323.729203,1,92
68449,2,1,12,2,,,15594.049321,16140.624477,2,99
68450,2,2,47,6,4,3,21481.050033,21698.613985,2,91
68451,2,1,24,4,4,5,16995.648055,16715.026676,2,100
68452,2,2,69,2,2,3,9716.805546,12994.252166,2,90
68453,2,2,79,3,3,1,56393.181686,58123.268911,2,93
68454,1,1,28,3,4,5,103001.073873,0,2,97
68455,2,1,27,3,3,5,39031.957066,39638.562591,1,95
68456,2,1,3,2,,,11179.43727,11311.602194,2,93
68457,2,1,0,3,,,28319.415322,27829.834184,1,92
68458,2,1,44,1,1,1,29797.944087,29360.705192,1,103
68459,2,2,16,4,,,10460.187371,12283.198438,1,99
68460,2,1,4,2,,,11179.43727,11533.315753,2,93
68461,2,1,6,3,,,63513.013195,68899.034203,2,101
68462,2,1,49,3,2,3,29483.108693,29407.372658,1,94
68463,2,2,0,3,,,19676.563141,20852.949038,2,99
68464,2,2,61,3,4,1,42101.975168,41959.54633,1,101
68465,2,2,80,6,1,2,13689.379977,14234.742701,2,92
68466,2,1,33,4,3,3,25624.148584,27611.905955,2,96
68467,2,2,47,3,5,1,139800.409559,144765.126463,1,100
68468,2,1,61,2,1,1,9115.676792,11889.427964,2,90
68469,2,1,25,3,4,5,29738.952706,30201.133298,2,94
68470,2,1,56,6,3,1,12158.061776,12114.139928,3,90
68471,2,2,15,4,,,11600.051433,12143.645666,3,90
68472,2,1,9,3,,,18324.386573,20287.008963,2,95
68473,2,1,28,4,3,5,17811.496463,19015.919888,2,99
68474,2,1,35,3,5,1,108014.727405,114941.235527,2,94
68475,2,2,12,3,,,36586.371708,39087.782259,1,98
68476,2,2,9,4,,,9139.784234,11102.911341,2,100
68477,2,1,21,4,4,5,16386.190684,20296.970403,2,90
68478,2,1,41,3,4,1,116464.874823,120278.381994,2,94
68479,2,2,3,3,,,27257.164734,28966.726071,1,95
68480,2,1,6,1,,,12477.812875,12553.43469,2,94
68481,2,2,19,3,,,100004.689924,104137.373956,1,90
68482,2,2,77,4,3,2,15211.382198,16229.383727,2,101
68483,2,2,14,1,,,16427.640886,18021.433684,1,102
68484,2,1,47,6,4,5,10846.102759,10858.953375,1,99
68485,2,2,64,3,5,3,122483.259869,124909.680309,3,91
68486,2,1,3,4,,,10690.995725,11500.031681,2,98
68487,2,1,19,4,,,10817.360862,11219.635132,2,99
68488,2,2,58,4,5,5,16741.034883,16282.872546,2,95
68489,2,2,10,4,,,7746.357421,8271.811673,1,99
68490,2,2,4,6,,,5601.441711,5595.525293,1,103
68491,2,1,80,3,2,1,35161.248998,42165.766203,3,91
68492,2,1,0,1,,,8519.229538,8673.80493,1,101
68493,2,1,29,6,5,1,11770.082057,12287.307332,3,91
68494,2,2,38,3,3,2,20626.479002,22617.279591,2,100
68495,2,2,78,3,3,2,27275.632708,28985.222851,2,96
68496,2,1,56,4,2,3,17188.361186,17721.573899,2,95
68497,2,2,34,3,5,3,59613.972918,59797.266126,2,100
68498,2,2,63,4,4,3,9547.901254,10157.592212,3,90
68499,2,1,58,3,4,1,175544.769665,182852.89468,1,91
68500,2,2,80,4,5,2,12863.404053,13555.744544,2,90
68501,2,1,52,3,4,1,152467.08796,152865.087613,1,94
68502,2,1,27,4,5,5,21873.767586,21362.816924,2,99
68503,2,2,3,7,,,27257.164734,28966.726071,1,92
68504,2,2,6,3,,,48532.852397,48387.04619,1,98
68505,2,1,57,3,3,5,151766.599459,156268.87702,3,91
68506,2,2,77,3,4,1,32189.450686,32533.215899,1,101
68507,2,2,49,6,5,5,25189.111847,25556.352159,2,102
68508,2,2,31,7,5,1,15542.93857,15828.161907,3,91
68509,2,2,26,4,4,5,14140.449064,14449.882828,3,90
68510,2,1,65,4,2,1,8886.717016,8956.231711,2,101
68511,2,2,9,7,,,8128.755281,8415.30848,1,98
68512,2,2,57,2,2,1,20734.495277,22158.856945,2,99
68513,2,2,69,3,4,1,54370.517487,54186.584794,1,95
68514,2,1,3,7,,,7629.74403,8207.121237,1,99
68515,2,1,13,7,,,63907.082519,63067.196763,1,102
68516,2,1,30,4,5,5,28213.419452,32164.786649,1,100
68517,2,1,28,2,1,1,49741.714519,52356.235161,2,91
68518,2,2,25,4,5,5,19495.209875,21153.580858,2,90
68519,2,1,5,3,,,58332.578536,63879.860857,1,91
68520,2,2,17,3,,,29885.567338,31265.78413,1,94
68521,2,2,28,2,4,3,47348.206546,48810.979214,1,92
68522,2,1,12,4,,,10817.360862,11219.635132,2,99
68523,2,2,62,4,2,5,11879.290971,12889.384857,2,96
68524,2,1,11,4,,,9184.716222,9199.031651,1,102
68525,2,2,39,1,3,1,36453.846815,35470.245447,1,102
68526,2,1,31,3,2,3,15799.067708,16817.831279,2,95
68527,2,2,8,3,,,48532.852397,48387.04619,1,98
68528,2,2,70,3,4,3,90234.245265,93002.542962,2,101
68529,2,2,80,3,4,2,42992.537371,48017.666119,2,95
68530,2,1,13,2,,,13921.972975,14228.387356,3,90
68531,2,1,60,4,4,1,6038.685119,6085.921613,1,96
68532,2,1,3,1,,,17341.8035,17890.748046,2,102
68533,2,2,9,6,,,6198.268014,6830.048804,3,90
68534,2,2,8,2,,,15897.166957,16345.216522,2,102
68535,2,2,0,1,,,6787.112205,7016.795893,2,94
68536,2,2,60,4,3,3,8308.628726,8949.073879,2,95
68537,2,2,34,3,5,1,95087.883412,95380.247139,1,100
68538,2,1,72,4,2,1,9472.03363,9657.569347,2,93
68539,1,1,72,2,2,5,12962.876803,0,2,90
68540,2,1,9,3,,,14307.565788,15198.555052,3,91
68541,2,1,12,4,,,11125.932433,11147.929312,1,96
68542,2,2,4,3,,,21341.740728,22680.288414,1,98
68543,2,2,13,1,,,21819.210646,22256.331163,3,92
68544,2,1,66,6,4,5,8623.181934,9096.941425,2,103
68545,2,1,63,4,1,2,8219.195224,8540.664122,2,99
68546,2,2,6,4,,,10888.493631,13227.224662,1,101
68547,2,2,21,3,5,5,60914.616471,70137.240791,2,91
68548,2,2,66,3,5,2,124544.616504,126579.471046,1,100
68549,2,1,67,2,1,1,9430.93681,9952.400706,1,92
68550,1,2,80,3,4,2,37019.065541,0,1,96
68551,2,2,80,4,1,2,11532.104822,12394.666968,2,99
68552,2,2,0,4,,,4439.36229,4769.277094,1,96
68553,2,2,61,3,3,3,129999.035519,131590.908764,1,98
68554,2,2,11,1,,,17053.854294,17496.484818,2,94
68555,2,2,6,3,,,22308.590534,22137.463018,1,101
68556,2,2,50,2,4,3,24902.414229,28566.820481,1,90
68557,2,1,71,3,3,3,15176.622228,16562.859469,1,101
68558,2,2,62,6,1,1,17243.546687,17998.333464,1,92
68559,2,1,80,3,3,2,34540.440658,39912.090511,1,90
68560,2,2,28,1,4,5,51746.15111,53882.638481,1,95
68561,2,2,65,3,5,1,145813.864843,148196.223981,1,100
68562,2,1,3,4,,,9016.053035,9126.025,2,100
68563,2,2,17,4,,,13452.957635,13490.376767,2,93
68564,2,2,35,6,4,1,20039.469886,21581.359058,1,97
68565,2,2,65,6,5,1,14102.354333,14646.654863,3,91
68566,2,1,13,4,,,13468.614146,13600.508187,2,102
68567,2,2,54,3,2,6,24217.957803,24014.890408,2,94
68568,2,1,27,3,4,5,114410.004231,116188.079068,1,97
68569,2,2,56,4,4,4,19977.261965,20728.031273,1,92
68570,2,1,49,3,3,3,23465.604153,23669.640656,2,98
68571,2,1,53,6,4,1,10562.541357,10524.383438,1,103
68572,2,1,42,3,5,1,117613.757473,123317.366869,2,93
68573,2,1,64,6,2,1,10288.337394,10853.580889,3,91
68574,2,1,20,1,4,5,39915.513053,40776.102186,2,98
68575,2,2,42,2,5,1,33565.905936,33977.52311,2,93
68576,2,2,1,1,,,9439.743884,10034.856293,1,90
68577,2,1,19,2,,,22228.448129,22318.929635,1,93
68578,2,1,8,2,,,13665.416457,13530.568366,1,94
68579,2,1,6,1,,,11159.151566,11335.739115,1,102
68580,2,2,47,1,4,3,46405.063078,46647.061535,2,98
68581,2,1,43,4,5,1,18790.641284,18862.037788,2,100
68582,2,2,42,4,4,5,19807.824556,20146.472612,1,96
68583,2,1,11,3,,,42986.51011,44926.997612,2,94
68584,2,1,18,3,,,88198.948426,91036.751291,1,101
68585,2,2,1,1,,,11901.705423,12652.027961,2,102
68586,2,2,20,4,4,5,29040.300396,28462.118402,2,101
68587,2,2,2,4,,,6854.479526,6961.787344,2,91
68588,2,2,14,1,,,16360.434077,17687.989006,3,91
68589,2,1,54,4,4,1,16117.991297,16472.240486,1,96
68590,2,1,1,4,,,5942.817425,6188.375425,2,97
68591,2,1,67,4,5,1,8088.223021,7993.317874,1,99
68592,2,1,34,4,4,6,24793.720953,26072.340199,1,92
68593,2,2,63,6,5,5,14745.12656,14965.949752,1,98
68594,2,1,80,3,3,2,12291.154515,13189.875012,1,95
68595,2,2,50,3,2,4,36676.329165,37617.002202,1,95
68596,2,2,6,3,,,17958.854782,18534.102526,2,100
68597,2,2,73,3,5,6,49260.413155,50771.674072,2,100
68598,2,1,14,4,,,11429.628358,11512.87076,2,96
68599,2,2,2,1,,,13322.479814,13501.65138,1,92
68600,2,2,7,3,,,24070.467912,24097.958076,1,95
68601,2,1,26,6,4,1,9956.598907,10266.888978,1,95
68602,2,1,36,1,2,1,34997.800447,35379.102239,2,96
68603,2,1,19,4,,,12721.673656,12814.326071,2,97
68604,2,2,2,4,,,5403.773938,5854.006054,3,90
68605,2,2,46,4,3,2,23003.908463,24458.642976,2,99
68606,2,2,62,2,1,2,9330.330573,12477.420452,3,90
68607,2,2,0,6,,,5507.575232,5813.640954,1,97
68608,1,2,80,3,5,3,41252.836432,0,1,100
68609,2,1,4,1,,,14505.510202,14676.996441,2,94
68610,2,1,6,4,,,8439.403196,8726.876152,2,103
68611,2,1,8,6,,,9928.619925,10708.884665,1,91
68612,2,2,55,4,4,1,24713.281483,24036.937705,1,92
68613,2,2,61,3,4,2,166028.936087,168741.576297,2,101
68614,2,1,73,2,2,1,15301.031416,16695.608527,1,90
68615,2,1,0,2,,,7530.249163,7898.897498,2,102
68616,2,2,17,4,,,11956.705842,11923.015236,1,96
68617,2,2,2,6,,,4938.043177,5022.237557,1,91
68618,2,2,13,6,,,7649.811754,7945.620413,2,90
68619,2,1,30,3,4,1,16942.073558,18043.178849,1,99
68620,2,1,36,4,4,1,16555.478822,16319.493771,2,96
68621,2,2,14,4,,,18163.985724,18749.311901,2,101
68622,2,2,70,3,4,1,64463.340883,65151.773075,1,91
68623,2,1,28,6,4,1,11279.598253,11667.930056,1,93
68624,2,1,45,2,2,3,34205.013302,34329.398365,2,102
68625,2,1,24,1,4,5,47487.549895,49034.44781,1,102
68626,2,2,70,3,4,1,54781.947924,56462.604085,2,93
68627,2,2,70,3,3,1,74668.489197,78374.230241,2,91
68628,2,2,17,4,,,11711.384457,11558.024533,2,95
68629,2,2,4,4,,,10437.988787,11378.89676,1,96
68630,2,1,32,3,2,1,69063.138927,75761.928286,1,92
68631,2,1,12,6,,,10618.845283,10988.972369,1,93
68632,2,2,65,3,5,1,134694.414609,139412.076132,2,94
68633,2,2,38,1,3,1,46400.322077,46544.459997,1,95
68634,2,2,15,4,,,17373.928778,17416.718116,2,96
68635,2,2,58,6,4,1,19183.115011,19284.554221,1,92
68636,2,1,1,6,,,6319.053383,6506.026949,1,91
68637,2,2,33,3,4,6,28059.790487,28146.065043,1,94
68638,2,1,18,4,,,11538.004005,11560.815583,1,96
68639,2,2,19,3,,,123622.182994,134789.559864,2,94
68640,2,2,28,6,5,5,12412.338679,12980.380959,3,90
68641,2,2,14,1,,,20460.442471,21235.303768,2,102
68642,2,1,16,4,,,16147.713323,16532.569027,1,92
68643,2,1,17,1,,,32326.52031,34735.818434,2,94
68644,2,2,1,2,,,9889.733317,10584.607254,1,91
68645,2,2,75,3,5,3,48731.095364,50226.117333,2,93
68646,2,2,45,1,2,3,34226.159502,34404.646012,1,97
68647,2,1,54,4,2,5,16851.334496,17374.092058,2,95
68648,2,2,30,3,5,1,85420.170155,86011.35365,1,91
68649,2,2,0,1,,,6787.112205,7238.162123,2,94
68650,2,1,3,7,,,6538.646646,7333.807608,2,100
68651,2,2,32,3,5,5,87808.984693,88078.968218,1,93
68652,2,1,34,3,4,6,78529.577822,86568.047729,1,98
68653,2,1,9,1,,,11159.151566,11210.524757,1,102
68654,2,2,2,4,,,5687.793894,6161.690011,2,90
68655,2,1,19,6,,,9948.022697,10353.284725,2,101
68656,2,1,10,4,,,8183.206265,8693.880504,3,90
68657,2,1,67,3,1,2,22705.790734,22474.018796,1,95
68658,2,2,17,6,,,10998.124667,11476.706351,1,91
68659,2,2,15,3,,,85039.920663,86146.650284,1,94
68660,2,1,24,2,1,5,38474.772527,38999.213364,2,93
68661,2,2,64,4,5,1,10991.458112,11482.21496,2,99
68662,2,2,37,6,4,1,16369.916397,16518.354031,1,101
68663,2,2,48,6,3,1,14101.070104,15807.720539,2,92
68664,2,1,6,2,,,13953.558291,13815.866863,2,93
68665,2,2,51,2,3,3,23122.188977,23961.502212,2,93
68666,2,1,15,6,,,9587.464696,10013.85895,3,92
68667,2,1,51,6,5,1,22345.774392,22681.166648,1,92
68668,2,2,8,1,,,15841.451259,16252.614023,3,92
68669,2,1,51,3,2,5,27140.404673,27611.034752,1,101
68670,2,2,5,7,,,8173.816615,8894.95474,1,97
68671,2,1,6,4,,,7504.213986,7926.614174,2,99
68672,2,1,46,3,3,5,133495.735893,134864.21511,3,92
68673,2,1,62,2,4,4,10004.038848,10164.290775,2,102
68674,2,2,0,7,,,8377.359485,8321.07116,2,96
68675,2,2,73,6,5,1,18481.000773,19056.863071,1,100
68676,2,2,51,4,3,4,19060.786733,19514.352798,2,97
68677,2,2,2,7,,,8474.492088,9470.199674,1,102
68678,2,1,43,2,1,1,27776.016947,27368.446715,2,90
68679,2,1,43,7,4,1,168806.614822,176992.791466,2,101
68680,2,2,22,3,5,6,53634.754806,54437.113731,1,98
68681,2,1,66,4,3,3,7973.883342,8285.757609,1,100
68682,2,2,79,3,1,1,98976.420245,105956.226489,2,101
68683,2,2,20,2,2,1,32537.532358,33640.063825,2,90
68684,2,2,6,3,,,23521.178662,23340.749474,1,101
68685,2,2,12,4,,,11905.948878,13980.928588,2,99
68686,2,2,25,6,5,5,18801.993237,20608.537144,2,96
68687,2,2,45,1,4,1,39843.937983,40051.72073,1,102
68688,2,1,35,3,5,1,94644.050918,104631.781207,2,91
68689,2,2,70,2,1,1,18607.968221,20176.873294,2,92
68690,2,2,29,7,3,1,45549.853584,51248.283427,3,91
68691,2,1,7,3,,,66868.503099,69864.859716,1,98
68692,2,2,4,6,,,5081.860978,5222.553414,3,91
68693,2,1,28,3,4,5,124091.929364,126020.47345,1,95
68694,2,1,57,4,5,1,16589.308426,16584.966003,2,90
68695,2,1,20,4,4,5,25815.880139,26556.735732,2,101
68696,2,1,44,2,5,3,35393.002863,36467.929589,2,93
68697,2,1,10,1,,,12477.812875,12675.267527,2,94
68698,2,1,8,1,,,13870.762641,14200.45921,2,102
68699,2,2,18,4,,,13801.622751,14246.373765,1,100
68700,2,2,4,1,,,12261.362755,13536.873522,1,103
68701,2,2,27,1,2,6,32455.694722,36034.785338,1,103
68702,2,1,56,4,3,3,20066.354173,20688.84721,1,96
68703,2,1,63,1,5,3,9235.951997,9415.956027,1,103
68704,2,1,7,3,,,18324.386573,20287.008963,2,95
68705,2,1,6,4,,,12267.215138,12414.279886,2,102
68706,2,1,26,4,4,6,21022.682584,20897.3615,1,100
68707,2,1,54,3,5,1,166897.201244,167183.296853,2,91
68708,2,2,61,2,1,2,6278.072933,7279.121105,2,103
68709,2,2,30,6,2,5,12801.027411,15381.268364,2,90
68710,2,1,40,2,4,1,33029.272844,32544.619181,2,93
68711,2,1,26,6,5,5,12084.002684,12472.760771,1,99
68712,2,1,0,7,,,7882.953266,8003.945501,2,96
68713,2,2,22,2,2,5,45798.520132,47350.399021,2,91
68714,2,2,55,4,4,5,18441.731082,18102.807884,1,96
68715,2,1,54,3,3,1,145342.530024,147904.745834,1,99
68716,2,2,12,1,,,24481.187693,24971.637581,1,95
68717,2,1,80,4,2,2,9835.055907,10027.702409,2,99
68718,2,2,6,1,,,13231.432201,13706.598104,2,97
68719,2,1,2,6,,,6185.185728,6679.834548,1,97
68720,2,2,53,3,3,1,215228.012584,222579.783434,1,98
68721,2,2,39,4,3,5,36053.766709,37679.125242,1,100
68722,2,1,40,2,2,1,31740.385214,33170.19689,2,96
68723,2,2,9,1,,,10118.363218,10311.586628,1,103
68724,2,2,27,1,4,1,35160.335949,35576.957572,1,103
68725,2,2,0,3,,,27484.911887,26738.360643,1,92
68726,2,2,52,3,4,1,27769.056387,27890.133764,1,94
68727,2,2,9,6,,,6198.268014,6618.822195,3,90
68728,2,2,9,2,,,12307.832776,12608.996083,2,93
68729,2,1,8,1,,,12577.115885,12776.141954,2,96
68730,2,1,80,3,4,3,9260.072397,9783.740861,1,98
68731,2,2,1,1,,,14326.094268,15816.39252,3,92
68732,2,2,33,1,4,1,42456.72357,41469.55672,1,92
68733,2,1,54,1,3,1,37557.946192,44552.872015,2,102
68734,2,2,1,3,,,27529.278041,30383.810541,1,92
68735,2,1,11,4,,,8453.214884,8599.856249,2,97
68736,2,2,45,3,3,3,28499.00321,31184.438144,2,98
68737,2,1,42,1,2,1,41527.444056,43502.112286,1,95
68738,2,1,22,3,3,5,120220.968534,126279.549,1,98
68739,2,1,31,7,3,4,14204.262514,14001.792163,1,99
68740,2,1,64,3,4,3,101090.822284,102038.91726,2,102
68741,2,2,31,1,1,3,39561.667842,38928.923531,2,98
68742,2,2,3,2,,,15358.480588,15565.033952,1,102
68743,2,1,9,7,,,5171.245544,5675.166629,1,99
68744,2,1,33,3,3,1,19384.896286,22235.85388,1,94
68745,2,2,61,3,4,3,31362.042024,31983.331006,1,94
68746,2,2,60,6,3,1,17243.546687,17909.086027,1,92
68747,2,2,10,2,,,15962.145468,16061.826248,2,98
68748,2,1,70,6,4,1,18239.933451,19545.291055,2,102
68749,2,2,21,4,3,5,15842.721579,15352.843701,2,99
68750,2,2,16,4,,,12209.74498,12781.910285,2,90
68751,2,1,39,3,4,1,83226.861139,86401.777435,2,95
68752,2,1,45,1,2,1,46745.699003,51362.782618,2,98
68753,2,2,43,3,5,1,127315.335607,133282.596235,1,94
68754,2,1,57,3,4,6,143642.364525,143888.596634,1,90
68755,2,2,2,1,,,11512.764389,11879.078775,2,98
68756,2,2,4,1,,,10024.946819,10059.178608,2,93
68757,2,2,0,6,,,9150.459338,9901.313011,1,97
68758,2,1,78,3,2,1,17703.366452,19320.397271,1,101
68759,1,2,15,2,,,15809.066118,0,2,93
68760,2,1,24,3,4,5,37326.925742,39362.952436,2,91
68761,2,2,4,4,,,9268.093277,10357.044767,1,99
68762,2,2,34,3,4,3,60664.751082,63005.627956,1,102
68763,2,1,26,2,2,5,35338.972549,37196.45724,2,90
68764,2,1,3,4,,,9016.053035,9572.619158,2,100
68765,2,1,25,1,4,6,41258.226616,42207.135518,2,99
68766,2,1,6,4,,,10464.577474,10672.635694,1,96
68767,2,2,68,4,4,5,9680.216878,10112.428208,1,96
68768,2,2,77,2,1,4,17318.187297,23904.945555,2,90
68769,2,2,56,6,5,1,14680.520497,15280.64157,3,91
68770,2,2,39,1,1,6,29102.738194,30199.222574,2,103
68771,2,2,24,7,4,1,23845.8146,23474.128607,1,98
68772,2,1,80,3,4,3,11289.606124,12205.635507,1,94
68773,2,2,56,3,3,1,163102.567998,164787.083347,1,99
68774,2,1,21,3,4,5,43104.257334,46015.156479,2,101
68775,2,2,18,6,,,6226.949288,6291.898221,2,94
68776,2,1,8,3,,,42634.626688,43853.750605,1,102
68777,2,1,17,3,,,30100.326038,35344.542616,1,101
68778,2,1,0,1,,,7284.164858,7692.652584,2,98
68779,2,1,16,1,,,27378.670648,27376.262696,2,96
68780,2,1,78,6,5,1,16632.531676,17822.854094,1,100
68781,2,1,34,6,5,5,13936.822202,14121.672299,1,93
68782,2,2,0,4,,,4543.931297,4593.545672,1,96
68783,2,1,22,3,3,6,32375.321924,36431.315201,1,101
68784,2,2,18,1,,,16594.391299,17940.930507,3,91
68785,2,1,0,4,,,6275.847063,6372.172481,2,100
68786,2,1,80,3,5,1,33707.673642,36318.620408,2,95
68787,2,1,65,3,5,1,149474.480274,150876.348421,1,100
68788,2,1,9,1,,,13927.458372,14258.502552,1,92
68789,2,1,16,3,,,126777.533816,125822.536881,1,100
68790,2,2,55,3,4,4,38954.135779,38857.944364,1,91
68791,2,2,45,4,4,1,19130.246369,18752.254654,2,95
68792,2,2,5,1,,,15457.736897,16648.051651,2,98
68793,2,1,73,3,5,1,68460.271241,72711.227332,1,102
68794,2,1,74,3,4,1,87101.243392,92194.745773,1,101
68795,1,2,4,2,,,13366.393396,0,2,94
68796,2,1,4,2,,,14505.510202,15161.207968,2,94
68797,2,1,27,4,3,6,17138.242525,20070.705691,1,90
68798,2,1,0,1,,,7757.493251,8192.524698,3,92
68799,2,1,70,3,2,3,46023.826844,48519.015788,1,91
68800,2,2,1,1,,,11512.764389,11552.07657,2,98
68801,2,2,3,4,,,10295.166918,11223.20055,2,96
68802,2,2,40,4,4,1,25189.042335,24671.456999,1,100
68803,2,2,21,4,4,5,18070.666316,17788.997869,1,99
68804,1,1,31,3,2,1,19788.748292,0,1,94
68805,2,1,0,3,,,17113.022485,16817.175522,1,91
68806,2,2,3,6,,,8171.700571,8311.029296,1,92
68807,2,2,35,6,5,1,15388.376971,15419.798755,2,99
68808,2,1,58,4,4,3,18032.281818,17974.767241,2,99
68809,2,2,2,4,,,7348.24433,7906.792868,2,95
68810,2,1,80,3,3,5,12291.154515,13189.875012,1,95
68811,2,1,0,1,,,6999.189812,6930.018579,3,92
68812,2,1,42,6,4,1,19184.316833,19115.012147,1,97
68813,2,2,24,3,2,1,52701.331723,59294.433957,3,91
68814,2,1,32,4,4,1,20133.630718,20200.188991,1,93
68815,2,2,10,6,,,6412.057856,6879.064185,3,91
68816,2,2,58,2,3,3,21097.069797,24201.517172,2,90
68817,2,1,32,3,4,6,18353.275855,20231.959782,1,91
68818,2,1,62,4,3,3,7410.50521,7700.344649,2,96
68819,2,1,47,1,2,1,52941.648658,53777.896935,2,102
68820,2,2,2,2,,,10164.721409,11222.125211,2,93
68821,2,1,2,4,,,9438.902193,9727.203655,2,102
68822,2,1,3,2,,,15745.774489,16244.197679,2,91
68823,2,1,64,4,3,1,7897.700656,8206.595267,2,95
68824,2,2,80,2,2,1,18824.116627,20613.042179,2,90
68825,2,1,51,6,1,4,16590.074977,17628.593761,1,92
68826,2,1,7,4,,,10409.90361,10390.331705,1,96
68827,2,1,43,6,5,1,17046.256569,17889.989739,1,96
68828,2,1,24,6,5,5,10141.381563,10448.082757,3,90
68829,2,2,0,2,,,7446.889459,7422.354625,2,96
68830,2,2,39,6,5,1,13027.332011,13103.987136,2,103
68831,2,2,79,4,5,1,16612.938931,17191.011953,2,99
68832,2,1,15,6,,,6666.045669,7091.184391,3,90
68833,2,1,41,2,3,5,25035.846455,25142.418345,2,99
68834,2,1,7,4,,,14832.155253,15089.454697,1,97
68835,1,1,49,2,1,6,39096.402803,0,2,91
68836,2,1,60,4,5,1,4299.99963,4413.31452,3,90
68837,2,2,35,4,5,4,22326.231285,22166.696692,1,99
68838,2,2,7,1,,,12789.411811,13121.359297,1,102
68839,2,1,80,3,5,1,44041.763669,47615.276255,1,92
68840,2,1,31,4,4,5,19117.284298,19018.955883,2,95
68841,2,1,49,4,4,1,21158.364877,21090.879552,1,96
68842,2,2,43,4,4,3,29670.405171,29530.485322,2,95
68843,2,1,52,1,1,1,22446.308035,24663.335125,2,94
68844,2,1,8,3,,,85148.03778,90558.20429,1,98
68845,2,2,75,3,3,2,36067.495928,37024.300659,1,95
68846,2,2,49,6,5,1,23742.825358,24088.979786,1,100
68847,2,1,21,1,4,5,59682.963348,63262.110969,2,102
68848,2,2,4,3,,,20589.729566,21881.111334,1,97
68849,2,1,5,4,,,10040.033098,10346.695479,1,100
68850,2,1,27,1,3,1,52698.05363,59566.360508,3,92
68851,2,2,13,1,,,18515.058419,19360.671834,2,96
68852,2,1,7,6,,,9720.482616,10533.307174,2,91
68853,2,2,37,3,4,5,27428.65319,29015.297283,2,91
68854,2,1,65,4,1,5,10037.214229,10115.728475,2,92
68855,2,1,70,3,4,1,71070.181743,73766.510327,1,95
68856,2,2,14,7,,,15711.746539,15750.442176,1,98
68857,2,2,12,3,,,91797.787708,92992.465808,1,95
68858,2,2,12,2,,,14437.97544,15197.369043,2,90
68859,2,2,39,3,4,1,85444.349063,86035.699897,1,94
68860,2,1,34,3,2,1,22188.836739,23248.471636,1,95
68861,2,1,8,1,,,11159.151566,11057.808004,1,102
